id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20539205,Habitación en La casa de La Alpaca (1),68350883,Belén,,Peñalolén,-33.48214,-70.54098,Private room,27000,1,5,2019-04-14,0.09,1,179,0,
20542332,Modern and spacious  Apartment in Escuela Militar,146677623,Carla,,Las Condes,-33.41185,-70.5794,Entire home/apt,70000,3,49,2021-01-26,0.80,1,0,0,
20567617,Pieza N'2,39733542,Maria,,Ñuñoa,-33.46683,-70.62408,Private room,28070,1,2,2022-01-22,0.04,2,362,1,
20572071,Precioso departamento en excelente barrio EL GOLF,146949488,Elena,,Las Condes,-33.41145,-70.59336,Entire home/apt,75000,8,17,2020-05-24,0.29,1,81,0,
20572371,Carmen,111000288,Barış,,Santiago,-33.44972,-70.64237,Private room,25000,2,0,,,1,179,0,
20573571,C644 Apartment Downtown Santiago,146967283,Andrés,,Santiago,-33.45135,-70.64162,Entire home/apt,43883,2,0,,,1,0,0,
20589201,Excellent ski-in-ski-out apartment in La Parva,101242258,Veronica,,Lo Barnechea,-33.33604,-70.28895,Entire home/apt,608181,4,1,2019-08-23,0.03,1,83,0,
20603020,Departamento estudio,147236312,Sofia,,Quinta Normal,-33.43847,-70.69185,Entire home/apt,20000,30,3,2022-08-09,0.14,1,319,1,
20604794,Cómodo departamento lado Mall Costanera Center,96700313,Constanza,,Las Condes,-33.41502,-70.60152,Entire home/apt,32393,3,124,2020-03-19,2.01,1,195,0,
20623406,"Depto. amoblado,  zona gourmet, Pedro de Valdivia.",147408028,Ximena Xira,,Ñuñoa,-33.44737,-70.6076,Entire home/apt,21274,90,0,,,1,180,0,
20623615,"Oferta, Amplio  Depto en mejor zona de Providencia",1304809,Mauricio,,Providencia,-33.42976,-70.599,Entire home/apt,65000,20,59,2022-02-16,0.97,1,320,3,
20623878,"La Moneda House, con balcón",135140093,Dina,,Santiago,-33.44674,-70.65336,Entire home/apt,35571,2,75,2022-03-20,1.23,7,354,6,
20636223,Departamentos Doble Providencia,147543672,Jt,,Providencia,-33.42441,-70.61684,Entire home/apt,56140,2,41,2022-09-09,0.70,2,322,5,
20653001,Departamento Triple Providencia,147543672,Jt,,Providencia,-33.4243,-70.61572,Hotel room,60818,2,10,2022-09-09,0.17,2,278,6,
20665070,La Mejor ubicación de Las Condes. Muy Tranquilo 10,21257123,Cristian,,Las Condes,-33.40946,-70.57402,Entire home/apt,66000,5,102,2022-08-26,1.66,3,312,12,
20669913,Lovely and  independent house in Providencia,97036108,Simone,,Providencia,-33.44261,-70.623,Entire home/apt,86081,2,34,2019-07-28,0.57,1,142,0,
20677627,Habitación Manquehue con Bilbao,117926007,Daniel,,Las Condes,-33.43006,-70.56316,Private room,17999,5,0,,,1,365,0,
20679177,Impecable Departamento Providencia costanera cente,122054239,Alejandra,,Providencia,-33.42443,-70.61165,Entire home/apt,48500,3,91,2022-08-28,1.50,1,350,23,
20679393,Cozy & Hipster in Metro Bellas Artes,21490519,Cristobal,,Santiago,-33.43434,-70.64603,Entire home/apt,46315,3,177,2022-09-15,2.90,2,314,27,
20680543,Moneda 1617 Depto P3,147992388,Patricia,,Santiago,-33.44371,-70.65963,Entire home/apt,29000,3,155,2022-09-11,2.54,2,300,38,
20681048,"Departamento Estudio para 1 o 2 personas, Santiago",147997258,Richard,,Santiago,-33.44737,-70.65047,Private room,25000,2,1,2018-02-27,0.02,1,363,0,
20685340,Selma Apartment FAMILIAR Providencia,73452097,Evelyn,,Providencia,-33.43475,-70.62757,Entire home/apt,48714,2,52,2022-08-21,0.85,4,349,18,
20686094,"providencia, 4p departamento privado best location",145892218,Emilio,,Providencia,-33.43183,-70.62,Entire home/apt,75000,20,25,2022-08-12,0.41,2,243,5,
20710229,One Bedroom - El Golf - Aparthotel,144127724,Zip Housing,,Las Condes,-33.41485,-70.58613,Entire home/apt,103859,1,761,2022-09-16,12.56,10,99,167,
20745558,Excelente ubicación en  las condes,148580940,Maria Vanessa,,Las Condes,-33.40954,-70.57051,Private room,20000,1,1,2019-04-14,0.02,1,180,0,
20755408,"Loft en Edificio Historico, Plaza de Armas.",148657756,Jorge,,Santiago,-33.43931,-70.65172,Shared room,90000,1,1,2017-09-03,0.02,1,364,0,
20758128,Departamento Providencia con la Mejor Ubicación ¡¡,172301711,Sara,,Providencia,-33.42588,-70.61486,Entire home/apt,40000,5,75,2022-09-02,1.22,1,31,16,
20762697,Inoa Suites 4,127625729,Alicia,,Providencia,-33.42887,-70.62028,Entire home/apt,63571,2,1,2018-12-10,0.02,7,362,0,
20773528,Depto Condominios La Parva,148842140,Fernando,,Lo Barnechea,-33.33958,-70.29072,Entire home/apt,150000,4,1,2022-08-07,0.64,1,365,1,
20780620,"Big apartment, El Golf area, Las Condes, Santiago",121072828,Pedro,,Las Condes,-33.41798,-70.59513,Entire home/apt,490000,10,0,,,1,180,0,
20782674,Volver a los años 40,148947075,Alberto,,Santiago,-33.4432,-70.64554,Entire home/apt,30000,15,1,2017-11-07,0.02,1,87,0,
20784847,Comodo y amplio departamento en Av Las Condes,65130016,Federico,,Las Condes,-33.3887,-70.54158,Entire home/apt,44143,3,97,2022-09-18,1.61,1,146,32,
20785971,Departamento Amoblado Santiago Centro,48612822,Carlos,,Santiago,-33.46216,-70.65245,Entire home/apt,19000,1,10,2019-03-01,0.16,1,48,0,
20786703,Private room/bathroom  (Metro Simón Bolívar),148990800,Marcela,,La Reina,-33.44647,-70.5654,Private room,9000,1,37,2020-03-31,0.61,1,139,0,
20787281,Departamento parque forestal Inmejorable ubicación,282614940,Juan Luis,,Providencia,-33.43673,-70.63513,Entire home/apt,35143,3,109,2022-08-30,1.78,1,273,31,
20796183,Departamento Barrio Lastarrias,148707789,Fernanda,,Santiago,-33.43764,-70.63942,Entire home/apt,28000,2,1,2017-10-15,0.02,1,0,0,
